route_id,service_id,trip_id,shape_id
18,2,29922,18O
22,2,34992,22L
52,2,29432, 
22,9,35069,22L
22,8,35068,22L
57,2,34042, 
57,3,34043, 
3,8,23658,3L
22,3,35063,22L
22,2,35062,22L
3,2,23652,3L
48,2,31542,48L
48,3,31543,48L
48,2,31492,48L
48,3,31493,48L
50,3,28703,50L
57,2,34192, 
57,3,34193, 
50,9,28709,50L
48,8,31498,48L
50,9,28259,50L
57,8,34198, 
57,9,34199, 
22,9,35119,22L
22,8,35118,22L
22,3,35113,22L
22,2,35112,22L
44,2,22632,44O
8,8,32468,8I
44,8,22638,44O
8,2,32462,8I
2,8,23238,2L
3,8,23728,3L
22,8,34608,22L
22,9,34609,22L
3,2,23722,3L
2,2,23232,2L
22,2,34602,22L
22,3,34603,22L
54,9,37709,54O
51,8,28898,51I
53,8,35808,53I
53,9,35679,53I
50,9,28679,50L
51,2,28892,51I
53,2,35802,53I
50,3,28673,50L
8,8,32608,8O
53,9,35489,53O
53,8,35488,53O
8,2,32602,8O
53,2,35482,53O
53,2,35642,53I
48,2,31942,48L
48,3,31943,48L
51,2,28872,51I
3,2,23832,3L
2,2,23342,2L
8,2,32592,8O
48,9,31949,48L
9,2,26292,9L
53,8,35648,53I
2,8,23348,2L
51,8,28878,51I
9,7,26297,9L
33,8,26458,33I
33,2,26452,33I
48,9,31609,48L
8,8,32268,8O
48,8,31608,48L
22,3,35243,22L
22,2,35242,22L
8,2,32262,8O
22,9,35249,22L
22,8,35248,22L
8,2,32732,8I
57,9,34149, 
8,8,32738,8I
48,3,31603,48L
45,8,22748,45O
8,2,32282,8O
20,8,25368,20L
48,2,28042,48L
45,2,22742,45O
8,8,32288,8O
20,2,25362,20L
3,2,23902,3L
48,8,31838,48L
4,8,36688,4L
3,8,23908,3L
48,2,31832,48L
48,3,31833,48L
48,3,31463,48L
38,8,33018,38I
38,9,33019,38I
20,8,25508,20L
45,8,32138,45O
28,8,36348,28I
20,2,25502,20L
28,2,36342,28I
45,2,32132,45O
51,8,28918,51I
57,9,34049, 
53,8,35708,53I
53,9,35709,53I
9,7,26277,9L
9,2,26272,9L
48,9,31469,48L
57,9,34129, 
53,2,37502,53I
53,8,37508,53I
22,8,34658,22L
28,8,36298,28I
4,8,36748,4L
4,2,36742,4L
28,2,36292,28I
18,11,274711,18I
56,2,33712, 
56,7,33717, 
15,8,37348,15I1035
15,9,37349,15I1035
28,2,36122,28O
15,8,37438,15I1035
15,9,37439,15I1035
15,2,37342,15I1035
15,2,37432,15I1035
28,8,36128,28O
4,2,36902,4L
38,9,33159,38O
38,8,33158,38O
4,8,36908,4L
22,3,34553,22L
38,3,33153,38O
38,2,33152,38O
48,8,31548,48L
22,9,34859,22L
22,8,34858,22L
15,2,37232,15L
54,9,38069,54O
15,8,37238,15L
15,9,37239,15L
22,3,34853,22L
22,2,34852,22L
46,2,36632,46L
54,8,37728,54O
54,9,37729,54O
48,9,31549,48L
48,9,31639,48L
54,2,37722,54O
46,8,36638,46L
51,8,29038,51I
22,3,34913,22L
57,3,33973, 
57,2,33972, 
50,3,28463,50L
50,9,28469,50L
57,9,33979, 
57,8,33978, 
48,3,31713,48L
48,2,31712,48L
54,9,38019,54O
54,8,38018,54O
28,8,35938,28O
48,9,31719,48L
48,8,31718,48L
54,2,38012,54O
48,9,31989,48L
54,2,37652,54I
52,8,29428, 
18,2,29932,18I
52,2,29422, 
52,2,29392, 
54,9,37659,54I
3,8,23648,3L
57,2,34072, 
18,2,30002,18I
2,8,23138,2L
48,3,31533,48L
48,2,31532,48L
2,2,23132,2L
50,9,28269,50L
50,3,28263,50L
2,2,23292,2L
22,8,35108,22L
22,9,35109,22L
48,9,31629,48L
48,8,31628,48L
22,2,35102,22L
22,3,35103,22L
48,3,31623,48L
48,2,31622,48L
8,8,32458,8O
50,3,28283,50L
44,8,22608,44I
8,2,32452,8O
3,8,23738,3L
44,2,22602,44I
22,9,34679,22L
22,8,34678,22L
2,8,23228,2L
50,9,28219,50L
2,2,23222,2L
22,3,34673,22L
22,2,34672,22L
50,9,28609,50L
28,8,35818,28O
22,2,35072,22L
22,3,35073,22L
28,2,35812,28O
50,3,28603,50L
22,8,35078,22L
22,9,35079,22L
53,8,35498,53O
53,9,35499,53O
53,2,35492,53O
45,2,28842,45O
3,2,23822,3L
2,2,23352,2L
53,9,35659,53I
22,3,34703,22L
22,2,34702,22L
3,8,23828,3L
45,8,28848,45O
22,9,34709,22L
22,8,34708,22L
2,8,23358,2L
48,9,31999,48L
22,2,35252,22L
22,3,35253,22L
55,3,32923,55O
55,2,32922,55O
8,2,32702,8I
8,8,32708,8I
53,2,35632,53I
20,8,25378,20L
