stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
21,21,Campus Dr @  Vaden Health Center,37.422375,-122.163704,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=21
22,22,Campus Dr @ Wilbur Field,37.422629,-122.163872,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=22
23,23,Campus Dr @ Munger Residences,37.422964,-122.165403,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=23
24,24,Campus Dr @ Alvarado Row,37.422661,-122.165921,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=24
25,25,Campus Dr @ Mayfield Ave North,37.421532,-122.168274,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=25
26,26,Campus Drive @ Mayfield Ave South,37.42152,-122.168144,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=26
27,27,Tresidder Student Union Westbound,37.42374038,-122.1705856,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=27
28,28,Tresidder Student Union Eastbound,37.423601,-122.170571,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=28
29,29,Santa Teresa St @ Lomita Dr,37.425342,-122.173242,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=29
30,30,Santa Teresa @ New Guinea Garden,37.425259,-122.173494,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=30
31,31,Samuel Morris Wy @ Panama St,37.426324,-122.174085,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=31
32,32,Panama St @ Roble Gym,37.42647,-122.174228,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=32
35,35,Santa Teresa St @ Roble Field,37.42609786,-122.176918,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=35
36,36,Santa Teresa St @ West Residences,37.425952,-122.176686,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=36
37,37,Santa Teresa St @ Governors Corner,37.426497,-122.180534,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=37
38,38,Santa Teresa St @ Los Arboles Ave,37.426572,-122.180553,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=38
